time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,0.372,-1.847,1.145,305.276,977.132
0.048,0.374,-1.807,2.212,304.978,977.050
0.098,0.373,-1.813,1.474,305.691,978.030
0.148,0.374,-1.954,2.439,305.689,978.728
0.198,0.375,-1.924,2.662,304.890,977.195
0.249,0.373,-1.818,2.616,304.992,978.173
0.298,0.378,-1.768,2.662,305.451,977.502
0.348,0.379,-1.726,1.231,305.302,977.888
0.398,0.373,-1.815,3.023,305.726,977.819
0.448,0.374,-1.834,2.426,305.547,977.485
0.498,0.383,-1.811,1.739,305.287,977.293
0.548,0.381,-1.730,2.363,305.042,977.158
0.598,0.374,-1.905,2.547,305.482,976.261
0.648,0.376,-1.975,3.742,305.716,977.071
0.698,0.374,-2.111,1.953,305.107,976.467
0.749,0.375,-1.730,1.345,305.811,978.103
0.798,0.378,-2.039,2.797,305.232,976.762
0.848,0.380,-1.871,2.435,305.561,976.288
0.898,0.376,-1.856,2.852,305.365,975.718
0.948,0.380,-1.776,5.449,304.913,976.288
0.998,0.380,-1.932,2.055,305.778,975.834
1.048,0.382,-1.791,1.910,305.065,976.042
1.098,0.378,-1.889,2.291,305.333,975.712
1.148,0.376,-1.887,2.045,305.613,974.997
1.198,0.381,-1.740,2.071,304.725,974.825
1.248,0.379,-1.945,2.573,305.882,974.522
1.298,0.381,-1.768,2.386,305.451,976.337
1.348,0.382,-1.740,2.875,304.959,976.320
1.398,0.373,-1.880,2.462,305.411,976.002
1.449,0.375,-1.916,2.110,304.912,975.085
1.498,0.379,-1.819,2.596,305.384,975.442
1.548,0.380,-1.734,2.133,305.325,975.794
1.598,0.375,-1.901,2.498,304.956,976.399
1.648,0.377,-1.982,2.084,305.591,976.761
1.699,0.380,-1.911,2.028,305.027,976.666
1.748,0.384,-1.712,1.559,305.415,975.921
1.798,0.377,-1.783,2.603,305.474,975.363
1.848,0.377,-1.818,2.038,304.912,975.491
1.898,0.381,-1.934,4.166,305.730,976.446
1.949,0.382,-1.918,2.114,304.953,977.976
1.998,0.378,-1.922,1.805,305.226,977.579
2.048,0.380,-1.982,2.603,305.672,977.034
2.098,0.379,-2.076,2.107,304.897,976.998
2.148,0.378,-1.775,2.288,305.522,977.813
2.198,0.382,-1.838,3.187,305.339,978.090
2.248,0.382,-1.848,2.275,304.962,978.588
2.298,0.376,-1.753,2.038,305.660,978.461
2.348,0.377,-1.929,2.406,304.573,978.319
2.398,0.382,-2.022,2.064,305.421,978.073
2.448,0.382,-1.884,1.884,305.401,979.679
2.498,0.387,-1.820,9.511,304.807,981.213
2.548,0.384,-1.835,2.216,305.573,982.187
2.598,0.388,-1.792,2.393,305.113,981.306
2.649,0.387,-1.765,0.915,305.393,981.396
2.698,0.382,-1.873,2.275,305.524,981.775
2.749,0.384,-1.861,1.973,304.566,981.991
2.798,0.376,-1.914,2.160,305.467,982.367
2.848,0.373,-1.903,2.110,305.208,983.143
2.898,0.382,-1.924,2.229,304.916,983.768
2.948,0.381,-1.925,2.025,305.341,983.523
2.998,0.377,-1.753,-2.342,305.170,983.192
3.048,0.377,-1.774,2.564,305.278,983.399
3.098,0.379,-1.968,2.314,304.818,984.459
3.148,0.380,-1.752,2.324,304.912,984.974
3.198,0.377,-1.985,2.429,305.483,984.389
3.249,0.377,-2.068,1.588,304.638,983.868
3.298,0.381,-1.950,2.022,305.246,984.007
3.348,0.379,-1.805,2.153,304.715,984.129
3.398,0.383,-1.938,1.940,304.558,984.814
3.449,0.383,-1.744,2.629,305.162,985.072
3.498,0.378,-1.982,1.920,304.735,986.499
3.548,0.379,-1.844,9.054,305.122,986.090
3.598,0.375,-1.816,2.143,304.800,985.577
3.648,0.376,-1.743,1.890,304.962,985.319
3.698,0.379,-1.856,2.087,305.377,987.238
3.749,0.378,-1.906,6.763,304.355,987.579
3.798,0.389,-2.058,2.429,304.663,986.772
3.849,0.390,-1.823,-5.122,305.035,986.581
3.898,0.377,-1.836,2.202,304.721,986.693
3.948,0.375,-2.047,2.199,305.354,986.129
3.998,0.376,-1.815,2.409,304.956,986.612
4.048,0.376,-1.835,1.680,304.884,986.713
4.098,0.374,-1.737,0.374,305.295,986.938
4.148,0.375,-1.756,2.038,304.647,986.019
4.198,0.375,-1.952,1.762,305.403,984.630
4.248,0.379,-1.996,2.504,304.579,984.682
4.298,0.380,-1.997,2.061,305.596,984.860
4.348,0.380,-1.944,2.271,305.426,985.873
4.398,0.384,-1.789,1.273,304.414,985.857
4.448,0.386,-1.790,2.501,305.426,986.039
4.498,0.389,-1.708,1.247,304.995,985.847
4.548,0.374,-1.733,2.390,305.168,985.805
4.598,0.377,-1.928,2.032,305.403,985.864
4.648,0.378,-1.942,2.225,304.782,987.093
4.698,0.384,-1.979,2.370,305.225,987.197
