,time(sec),state
0,0.1514,0
0,0.1615,1
0,0.1768,1
0,0.1908,1
0,0.2013,1
0,0.2113,0
0,0.2253,0
0,0.2381,0
0,0.2484,0
0,0.2585,0
0,0.2686,0
0,0.2787,0
0,0.2888,0
0,0.3008,0
0,0.3109,0
0,0.321,0
0,0.3313,0
0,0.3415,0
0,0.3516,0
0,0.3617,0
0,0.3718,0
0,0.3819,0
0,0.392,0
0,0.4021,0
0,0.4122,0
0,0.4223,0
0,0.4324,0
0,0.4424,0
0,0.4527,0
0,0.4628,0
0,0.4729,0
0,0.483,0
0,0.4931,0
0,0.5032,0
0,0.5133,0
0,0.5234,0
0,0.5336,0
0,0.5437,0
0,0.5537,0
0,0.5638,0
0,0.5739,0
0,0.584,0
0,0.5941,0
0,0.6045,0
0,0.6146,0
0,0.6247,0
0,0.6348,0
0,0.6449,0
0,0.6549,0
0,0.6659,1
0,0.6769,1
0,0.6871,1
0,0.6972,1
0,0.7102,0
0,0.7203,0
0,0.7304,0
0,0.7411,0
0,0.7512,0
0,0.762,0
0,0.7726,0
0,0.7829,0
0,0.793,0
0,0.8031,0
0,0.8133,0
0,0.8234,0
0,0.8335,0
0,0.8436,0
0,0.8538,0
0,0.8639,0
0,0.8742,0
0,0.8843,0
0,0.8944,0
0,0.9045,0
0,0.9146,0
0,0.9247,0
0,0.9348,0
0,0.945,0
0,0.9551,0
0,0.9652,0
0,0.9753,0
0,0.9854,0
0,0.9955,0
0,1.0055,0
0,1.0156,0
0,1.0257,0
0,1.0358,0
0,1.0459,0
0,1.056,0
0,1.066,0
0,1.0761,0
0,1.0862,0
0,1.0963,0
0,1.1064,0
0,1.1165,0
0,1.1265,0
0,1.1366,0
0,1.1467,0
0,1.1568,0
0,1.1708,1
0,1.1809,1
0,1.1957,0
0,1.2057,0
0,1.2158,0
0,1.2259,0
0,1.236,0
0,1.2501,0
0,1.2602,0
0,1.2703,0
0,1.2804,0
0,1.2909,0
0,1.3011,0
0,1.3112,0
0,1.3213,0
0,1.3314,0
0,1.3415,0
0,1.3526,0
0,1.3629,0
0,1.373,0
0,1.3831,0
0,1.3931,0
0,1.4032,0
0,1.4133,0
0,1.4234,0
0,1.4335,0
0,1.4435,0
0,1.4536,0
0,1.4638,0
0,1.4739,0
0,1.4839,0
0,1.494,0
0,1.5041,0
0,1.5142,0
0,1.5243,0
0,1.5344,0
0,1.5444,0
0,1.5545,0
0,1.5646,0
0,1.5747,0
0,1.5848,0
0,1.5949,0
0,1.605,0
0,1.615,0
0,1.6251,0
0,1.6352,0
0,1.6453,0
0,1.6554,0
0,1.6655,0
0,1.6778,1
0,1.6879,1
0,1.698,1
0,1.708,0
0,1.723,0
0,1.7331,0
0,1.7432,0
0,1.7555,0
0,1.7663,0
0,1.7764,0
0,1.7866,0
0,1.7967,0
0,1.8068,0
0,1.8169,0
0,1.827,0
0,1.837,0
0,1.8471,0
0,1.8572,0
0,1.8673,0
0,1.8774,0
0,1.8874,0
0,1.8975,0
0,1.9076,0
0,1.9177,0
0,1.9278,0
0,1.9379,0
0,1.9479,0
0,1.958,0
0,1.9681,0
0,1.9782,0
0,1.9883,0
0,1.9984,0
0,2.0084,0
0,2.0185,0
0,2.0286,0
0,2.0387,0
0,2.0488,0
0,2.0589,0
0,2.0689,0
0,2.079,0
0,2.0891,0
0,2.0992,0
0,2.1093,0
0,2.1193,0
0,2.1294,0
0,2.1395,0
0,2.1496,0
0,2.1597,0
0,2.1698,0
0,2.1817,1
0,2.192,1
0,2.2021,1
0,2.2141,1
0,2.2245,0
0,2.2346,0
0,2.2447,0
0,2.2548,0
0,2.2651,0
0,2.2754,0
0,2.2855,0
0,2.298,0
0,2.3081,0
0,2.3182,0
0,2.3283,0
0,2.3384,0
0,2.3485,0
0,2.3585,0
0,2.3686,0
0,2.3787,0
0,2.3888,0
0,2.3989,0
0,2.409,0
0,2.4191,0
0,2.4292,0
0,2.4392,0
0,2.4493,0
0,2.4594,0
0,2.4695,0
0,2.4795,0
0,2.4896,0
0,2.4999,0
0,2.51,0
0,2.52,0
0,2.5301,0
0,2.5402,0
0,2.5503,0
0,2.5604,0
0,2.5705,0
0,2.5805,0
0,2.5906,0
0,2.6007,0
0,2.6108,0
0,2.6209,0
0,2.6309,0
0,2.641,0
0,2.6511,0
0,2.6612,0
0,2.6713,0
0,2.6814,1
0,2.6919,1
0,2.702,1
0,2.7121,0
0,2.7222,0
0,2.7324,0
0,2.7425,0
0,2.7538,0
0,2.7647,0
0,2.7748,0
0,2.785,0
0,2.7951,0
0,2.8053,0
0,2.8163,0
0,2.8264,0
0,2.8365,0
0,2.8466,0
0,2.8567,0
0,2.8668,0
0,2.8769,0
0,2.887,0
0,2.8971,0
0,2.9072,0
0,2.9172,0
0,2.9273,0
0,2.9374,0
0,2.9475,0
0,2.9576,0
0,2.9677,0
0,2.9777,0
0,2.9878,0
0,2.9979,0
0,3.008,0
0,3.0181,0
0,3.0282,0
0,3.0382,0
0,3.0483,0
0,3.0584,0
0,3.0685,0
0,3.0786,0
0,3.0887,0
0,3.0987,0
0,3.1088,0
0,3.1189,0
0,3.129,0
0,3.1391,0
0,3.1491,0
0,3.1592,0
0,3.1693,0
0,3.1796,1
0,3.1897,1
0,3.2004,1
0,3.2106,1
0,3.2207,0
0,3.2308,0
0,3.2409,0
0,3.251,0
0,3.2611,0
0,3.2713,0
0,3.2815,0
0,3.2916,0
0,3.3018,0
0,3.3119,0
0,3.322,0
0,3.3321,0
0,3.3422,0
0,3.3522,0
0,3.3623,0
0,3.3724,0
0,3.3825,0
0,3.3926,0
0,3.4026,0
0,3.4127,0
0,3.4228,0
0,3.4329,0
0,3.443,0
0,3.4532,0
0,3.4633,0
0,3.4734,0
0,3.4834,0
0,3.4935,0
0,3.5036,0
0,3.5137,0
0,3.5238,0
0,3.5339,0
0,3.544,0
0,3.554,0
0,3.5641,0
0,3.5742,0
0,3.5843,0
0,3.5944,0
0,3.6045,0
0,3.6146,0
0,3.6246,0
0,3.6347,0
0,3.6448,0
0,3.6549,0
0,3.665,0
0,3.6751,0
0,3.6852,1
0,3.6953,1
0,3.7055,1
0,3.7198,0
0,3.7305,0
0,3.7416,0
0,3.7517,0
0,3.762,0
0,3.7722,0
0,3.7823,0
0,3.7925,0
0,3.8026,0
0,3.8127,0
0,3.8229,0
0,3.833,0
0,3.8431,0
0,3.8538,0
0,3.8657,0
0,3.8789,0
0,3.8902,0
0,3.9027,0
0,3.9137,0
0,3.9315,0
0,3.9417,0
0,3.9532,0
0,3.9635,0
0,3.9737,0
0,3.9838,0
0,3.995,0
0,4.0052,0
0,4.0153,0
0,4.0254,0
0,4.0355,0
0,4.0457,0
0,4.0558,0
0,4.0659,0
0,4.0761,0
0,4.0862,0
0,4.0989,0
0,4.109,0
0,4.1191,0
0,4.1299,0
0,4.14,0
0,4.1501,0
0,4.161,0
0,4.1719,0
0,4.1911,0
0,4.2032,1
0,4.214,1
0,4.2247,1
0,4.237,0
0,4.2471,0
0,4.2572,0
0,4.2686,0
0,4.2793,0
0,4.2894,0
0,4.2996,0
0,4.3097,0
0,4.3225,0
0,4.3358,0
0,4.3459,0
0,4.3561,0
0,4.3662,0
0,4.3764,0
0,4.3866,0
0,4.3967,0
0,4.4068,0
0,4.4169,0
0,4.427,0
0,4.4371,0
0,4.4472,0
0,4.4573,0
0,4.4674,0
0,4.4775,0
0,4.4876,0
0,4.4976,0
0,4.5077,0
0,4.5178,0
0,4.5279,0
0,4.538,0
0,4.5481,0
0,4.5582,0
0,4.5682,0
0,4.5783,0
0,4.5884,0
0,4.5985,0
0,4.6086,0
0,4.6186,0
0,4.6287,0
0,4.6388,0
0,4.6489,0
0,4.6591,0
0,4.6691,0
0,4.6792,0
0,4.6893,0
0,4.6994,0
0,4.7095,1
0,4.7196,1
0,4.7298,1
0,4.7399,0
0,4.7499,0
0,4.76,0
0,4.7701,0
0,4.7811,0
0,4.7912,0
0,4.8014,0
0,4.8115,0
0,4.8218,0
0,4.8319,0
0,4.842,0
0,4.8521,0
0,4.8623,0
0,4.8723,0
0,4.8824,0
0,4.8925,0
0,4.9026,0
0,4.9127,0
0,4.9227,0
0,4.9328,0
0,4.9429,0
0,4.953,0
0,4.9631,0
0,4.9732,0
0,4.9832,0
0,4.9933,0
0,5.0034,0
0,5.0135,0
0,5.0236,0
0,5.0337,0
0,5.0438,0
0,5.0539,0
0,5.0639,0
0,5.074,0
0,5.0841,0
0,5.0942,0
0,5.1043,0
0,5.1144,0
0,5.1244,0
0,5.1345,0
0,5.1446,0
0,5.1547,0
0,5.1648,0
0,5.1749,0
0,5.1849,0
0,5.1951,0
0,5.2052,0
0,5.2153,1
0,5.2258,1
0,5.2359,1
0,5.249,1
0,5.2614,0
0,5.2715,0
0,5.2818,0
0,5.2919,0
0,5.3023,0
0,5.3126,0
0,5.3227,0
0,5.3328,0
0,5.3432,0
0,5.3533,0
0,5.3634,0
0,5.3735,0
0,5.3836,0
0,5.3937,0
0,5.4037,0
0,5.4138,0
0,5.4239,0
0,5.434,0
0,5.4441,0
0,5.4541,0
0,5.4642,0
0,5.4743,0
0,5.4844,0
0,5.4945,0
0,5.5045,0
0,5.5146,0
0,5.5247,0
0,5.5348,0
0,5.5449,0
0,5.5549,0
0,5.5651,0
0,5.5751,0
0,5.5852,0
0,5.5953,0
0,5.6054,0
0,5.6155,0
0,5.6256,0
0,5.6357,0
0,5.6457,0
0,5.6558,0
0,5.6659,0
0,5.676,0
0,5.6861,0
0,5.6962,0
0,5.7062,0
0,5.7163,1
0,5.7271,1
0,5.7372,1
0,5.749,0
