time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.064,-0.122,-0.086,-4.191,31.119
0.039,-0.069,-0.122,-0.090,-3.695,31.571
0.090,-0.146,-0.123,-0.099,-3.255,31.914
0.139,-0.126,-0.122,-0.090,-3.430,31.897
0.189,0.020,-0.123,-0.096,-2.855,31.765
0.239,-0.108,-0.122,-0.091,-3.096,30.487
0.289,-0.072,-0.123,-0.098,-3.727,30.965
0.339,-0.082,-0.122,-0.092,-3.139,31.769
0.389,0.062,-0.123,-0.096,-3.832,32.071
0.439,-0.048,-0.123,-0.092,-2.930,31.962
0.490,0.121,-0.122,-0.085,-3.339,31.743
0.539,-0.095,-0.122,-0.089,-4.198,30.239
0.589,0.034,-0.123,-0.095,-2.984,30.897
0.639,0.062,-0.123,-0.097,-3.796,31.573
0.689,-0.100,-0.122,-0.088,-4.143,32.001
0.739,-0.039,-0.123,-0.098,-3.129,31.834
0.789,-0.107,-0.123,-0.088,-3.925,30.989
0.839,0.083,-0.122,-0.092,-3.068,30.505
0.891,0.011,-0.123,-0.094,-3.975,30.827
0.940,-0.076,-0.123,-0.092,-3.201,31.111
0.990,0.053,-0.123,-0.094,-3.241,31.791
1.039,-0.014,-0.122,-0.088,-3.687,31.473
1.089,0.049,-0.123,-0.098,-3.290,30.997
1.139,-0.014,-0.123,-0.096,-3.665,30.255
1.189,-0.071,-0.123,-0.094,-3.378,29.859
1.239,-0.113,-0.123,-0.098,-3.224,30.643
1.290,0.049,-0.122,-0.097,-3.857,31.056
1.340,-0.020,-0.122,-0.100,-3.131,31.395
1.389,-0.039,-0.122,-0.087,-3.001,30.394
1.440,-0.005,-0.123,-0.096,-3.114,30.846
1.489,-0.017,-0.122,-0.089,-3.048,29.865
1.539,-0.114,-0.123,-0.096,-4.308,30.553
1.590,-0.072,-0.123,-0.094,-3.025,30.825
1.639,-0.011,-0.122,-0.095,-3.310,31.100
1.689,0.019,-0.122,-0.093,-4.243,30.487
1.739,0.035,-0.122,-0.099,-3.035,29.844
1.790,0.090,-0.123,-0.097,-4.199,29.720
1.840,0.080,-0.123,-0.095,-3.038,29.946
1.889,0.022,-0.124,-0.094,-3.134,31.284
1.939,0.005,-0.122,-0.097,-4.099,31.248
1.989,-0.055,-0.121,-0.087,-3.143,30.591
2.039,-0.079,-0.122,-0.092,-4.014,30.268
2.089,-0.057,-0.122,-0.087,-3.748,29.804
2.139,-0.010,-0.122,-0.091,-3.030,30.721
2.189,-0.060,-0.122,-0.093,-4.181,31.108
2.239,-0.038,-0.123,-0.096,-3.031,31.199
2.289,0.006,-0.123,-0.093,-3.644,30.804
2.339,-0.041,-0.123,-0.096,-3.531,29.915
2.389,-0.098,-0.122,-0.091,-2.955,29.913
2.439,0.069,-0.123,-0.101,-4.134,30.735
2.489,0.053,-0.123,-0.101,-3.001,31.229
2.539,0.023,-0.122,-0.091,-2.912,30.970
2.589,-0.066,-0.123,-0.101,-3.754,30.763
