time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,0.002,-0.123,-0.102,-3.303,27.216
0.018,-0.006,-0.123,-0.105,-2.976,26.997
0.067,0.041,-0.122,-0.108,-4.223,26.358
0.117,0.003,-0.123,-0.110,-3.104,25.434
0.167,-0.051,-0.123,-0.102,-3.374,26.268
0.217,-0.034,-0.123,-0.108,-3.763,27.079
0.267,-0.088,-0.123,-0.107,-3.061,27.545
0.317,0.005,-0.123,-0.112,-3.821,27.521
0.367,0.067,-0.123,-0.106,-3.171,26.611
0.417,0.059,-0.123,-0.104,-3.161,25.982
0.467,-0.038,-0.123,-0.103,-4.053,26.780
0.517,0.014,-0.123,-0.105,-2.902,27.374
0.567,0.043,-0.123,-0.110,-3.514,27.680
0.618,-0.100,-0.123,-0.106,-2.893,27.650
0.667,-0.031,-0.123,-0.105,-3.081,26.836
0.717,-0.047,-0.122,-0.105,-3.597,26.374
0.767,-0.051,-0.123,-0.108,-2.755,26.075
0.817,0.041,-0.124,-0.108,-3.270,27.132
0.867,-0.054,-0.123,-0.107,-3.677,27.180
0.917,-0.027,-0.123,-0.108,-2.900,26.741
0.967,-0.033,-0.123,-0.106,-3.983,26.551
1.017,0.017,-0.123,-0.107,-2.856,25.574
1.067,-0.038,-0.123,-0.112,-3.149,26.408
1.117,-0.065,-0.123,-0.108,-3.390,26.886
1.168,-0.006,-0.123,-0.110,-2.889,27.112
1.217,-0.025,-0.123,-0.108,-3.929,26.597
1.268,-0.034,-0.123,-0.106,-3.072,26.662
1.318,-0.054,-0.123,-0.104,-3.965,26.008
1.367,0.078,-0.124,-0.106,-4.136,26.254
1.417,0.025,-0.123,-0.108,-3.149,26.550
1.467,0.016,-0.124,-0.107,-4.053,26.955
1.517,0.031,-0.123,-0.111,-3.161,26.728
1.567,-0.028,-0.124,-0.105,-3.223,26.042
1.617,0.023,-0.123,-0.108,-4.119,25.422
1.667,-0.065,-0.123,-0.111,-2.852,26.035
1.717,-0.020,-0.123,-0.101,-3.784,26.689
1.767,-0.079,-0.123,-0.103,-3.235,27.038
1.817,-0.097,-0.123,-0.111,-3.033,26.932
1.867,-0.062,-0.123,-0.105,-4.206,26.240
1.917,0.031,-0.124,-0.108,-3.194,25.722
1.967,0.005,-0.124,-0.110,-3.175,26.543
2.017,-0.056,-0.124,-0.110,-4.270,27.166
2.067,0.028,-0.124,-0.107,-2.770,27.125
2.117,-0.040,-0.123,-0.108,-3.211,26.774
2.168,-0.021,-0.124,-0.103,-2.968,25.824
2.218,-0.007,-0.124,-0.106,-3.420,25.283
2.268,-0.045,-0.124,-0.108,-4.104,26.018
2.317,0.021,-0.124,-0.108,-2.880,26.593
2.367,-0.010,-0.123,-0.108,-3.584,26.743
2.417,-0.026,-0.124,-0.104,-2.947,26.616
2.467,-0.024,-0.124,-0.106,-3.078,25.918
2.517,-0.053,-0.123,-0.102,-3.856,25.125
2.567,-0.042,-0.123,-0.103,-2.773,25.982
2.617,0.005,-0.124,-0.103,-3.600,26.505
2.667,-0.037,-0.124,-0.109,-3.740,26.446
2.718,0.041,-0.123,-0.104,-3.169,26.187
2.767,-0.090,-0.123,-0.104,-4.246,25.581
2.817,-0.011,-0.124,-0.110,-3.300,25.017
2.867,0.013,-0.123,-0.102,-3.485,25.791
2.917,-0.027,-0.124,-0.109,-4.115,26.316
2.967,-0.092,-0.124,-0.107,-3.158,26.371
3.017,0.018,-0.124,-0.103,-3.665,26.278
3.067,-0.103,-0.123,-0.103,-2.976,25.557
3.117,-0.040,-0.123,-0.107,-3.039,25.609
3.167,-0.017,-0.124,-0.104,-4.188,25.908
3.217,0.058,-0.123,-0.109,-2.863,26.160
3.268,-0.069,-0.124,-0.099,-4.216,26.072
3.317,-0.054,-0.123,-0.107,-3.087,25.924
3.368,-0.082,-0.123,-0.102,-3.489,25.488
3.417,0.074,-0.124,-0.112,-4.218,24.604
3.467,-0.050,-0.124,-0.105,-2.793,25.089
3.517,-0.124,-0.123,-0.103,-3.991,25.566
3.567,-0.028,-0.123,-0.103,-3.131,25.898
3.617,-0.084,-0.123,-0.102,-2.903,25.379
3.667,0.040,-0.124,-0.108,-3.893,24.976
3.717,-0.099,-0.122,-0.103,-2.935,24.226
3.767,-0.040,-0.123,-0.101,-3.847,24.596
3.817,-0.050,-0.123,-0.108,-4.098,25.620
3.867,-0.102,-0.123,-0.109,-3.037,25.612
3.917,-0.002,-0.124,-0.107,-3.741,24.898
3.967,-0.118,-0.124,-0.100,-2.870,24.881
4.017,0.002,-0.124,-0.107,-2.931,24.074
4.067,-0.099,-0.123,-0.101,-3.503,24.713
4.117,-0.048,-0.124,-0.104,-3.054,25.144
4.167,-0.019,-0.123,-0.106,-4.012,25.350
4.217,0.032,-0.123,-0.109,-3.497,25.038
4.268,-0.004,-0.123,-0.102,-3.621,24.782
4.317,-0.050,-0.123,-0.100,-3.449,23.650
4.367,-0.047,-0.123,-0.100,-2.931,24.156
4.417,-0.122,-0.123,-0.104,-4.143,24.649
4.467,-0.102,-0.123,-0.109,-3.161,24.847
4.517,-0.062,-0.124,-0.112,-3.076,24.956
4.567,0.001,-0.122,-0.103,-3.845,24.104
4.618,-0.113,-0.123,-0.101,-2.837,23.266
4.667,0.005,-0.123,-0.102,-4.066,23.592
4.717,0.051,-0.123,-0.106,-2.981,24.125
4.767,-0.025,-0.123,-0.104,-3.361,24.652
4.817,-0.044,-0.123,-0.108,-4.192,24.298
4.868,0.037,-0.122,-0.104,-3.079,24.418
4.917,-0.027,-0.123,-0.104,-3.891,23.063
4.967,-0.123,-0.123,-0.109,-3.481,23.658
5.017,0.007,-0.123,-0.103,-3.061,24.111
5.067,0.004,-0.123,-0.104,-4.237,24.361
5.117,0.038,-0.123,-0.112,-3.457,24.358
5.167,-0.067,-0.124,-0.103,-3.138,22.997
5.217,-0.120,-0.124,-0.107,-3.928,22.761
5.268,0.024,-0.123,-0.106,-3.070,23.038
5.317,-0.067,-0.123,-0.107,-3.849,24.117
5.367,-0.074,-0.124,-0.109,-4.103,24.094
5.417,-0.014,-0.124,-0.106,-2.875,23.548
5.468,-0.046,-0.125,-0.109,-4.339,23.655
5.517,-0.047,-0.123,-0.103,-2.990,22.529
5.567,-0.042,-0.123,-0.104,-3.868,23.204
5.617,-0.037,-0.123,-0.105,-3.392,23.891
5.667,-0.032,-0.123,-0.108,-3.258,24.094
5.717,-0.082,-0.125,-0.109,-4.170,24.159
5.767,12.902,-0.124,-0.102,-3.105,23.632
5.817,12.902,-0.123,-0.095,-3.334,23.208
5.867,12.902,-0.118,-0.100,-2.683,23.266
5.918,12.902,-0.119,-0.104,-3.067,23.987
5.967,12.902,-0.114,-0.104,-3.782,24.531
6.018,12.902,-0.115,-0.083,-2.635,23.950
6.067,12.902,-0.121,-0.083,-3.582,23.679
6.117,12.902,-0.120,-0.099,-3.776,23.238
6.167,12.902,-0.112,-0.114,-2.979,24.130
6.217,12.902,-0.113,-0.102,-3.708,25.243
6.268,12.902,-0.115,-0.095,-2.646,22.629
6.318,-2.006,-0.115,-0.132,-2.972,23.230
6.367,12.902,-0.120,-0.135,-3.700,22.844
6.417,12.902,-0.120,-0.091,-3.104,22.311
6.467,12.902,-0.119,-0.093,-3.496,23.411
6.517,12.902,-0.119,-0.122,-3.309,23.903
6.567,12.902,-0.117,-0.119,-3.390,23.497
6.617,12.902,-0.116,-0.109,-3.996,24.386
6.667,12.902,-0.116,-0.110,-3.187,22.720
6.718,12.902,-0.116,-0.099,-3.822,22.577
6.768,12.902,-0.116,-0.104,-2.998,22.321
6.817,12.902,-0.117,-0.108,-2.784,24.126
6.867,-2.036,-0.106,-0.111,-3.906,23.537
6.917,-1.970,-0.106,-0.125,-3.083,23.630
6.967,-1.819,-0.111,-0.126,-3.132,22.455
7.018,-1.796,-0.113,-0.114,-3.360,22.663
7.067,-1.872,-0.108,-0.109,-2.914,23.311
7.117,12.902,-0.110,-0.095,-4.090,23.023
7.167,12.902,-0.114,-0.094,-3.157,23.992
7.218,12.902,-0.114,-0.084,-3.869,23.488
7.268,12.902,-0.109,-0.089,-3.466,22.761
7.318,12.902,-0.109,-0.123,-3.228,22.052
7.368,12.902,-0.115,-0.092,-3.932,22.573
7.417,12.902,-0.116,-0.086,-2.352,23.417
7.467,12.902,-0.111,-0.088,-3.446,23.477
7.517,12.902,-0.111,-0.120,-3.720,22.960
7.567,12.902,-0.119,-0.115,-3.270,21.673
