Model : ,06,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.04,-0.05,0.00,0.05,0.08,0.07,0.04,302.55,29.39,0.00,-0.05,-2.61
-0.04,-0.02,-0.00,0.03,0.07,0.06,0.04,302.69,29.40,0.00,0.01,-2.51
-0.04,0.03,-0.00,0.02,0.06,0.05,0.04,301.71,29.40,0.00,0.08,-2.40
-0.03,0.08,0.00,0.01,0.05,0.03,0.03,298.83,29.41,0.00,0.13,-2.30
-0.02,0.14,0.01,0.01,0.04,0.01,0.02,294.49,29.41,0.00,0.17,-2.24
-0.01,0.20,0.02,0.02,0.03,-0.01,0.00,289.60,29.41,0.00,0.24,-2.23
-0.01,0.25,0.04,0.04,0.04,-0.01,-0.01,284.95,29.41,0.00,0.37,-2.29
-0.00,0.29,0.05,0.06,0.05,-0.01,-0.01,281.77,29.42,0.00,0.52,-2.39
-0.00,0.32,0.07,0.07,0.06,-0.01,-0.02,282.03,29.42,0.00,0.57,-2.53
-0.01,0.33,0.07,0.08,0.08,0.01,-0.02,286.64,29.42,0.00,0.44,-2.71
-0.02,0.33,0.07,0.09,0.10,0.02,-0.01,294.13,29.42,0.00,0.15,-2.88
-0.03,0.32,0.06,0.09,0.11,0.04,-0.00,301.91,29.41,0.00,-0.19,-2.97
-0.03,0.31,0.05,0.08,0.11,0.05,0.01,307.99,29.41,0.00,-0.52,-2.95
-0.04,0.30,0.03,0.07,0.11,0.06,0.02,311.45,29.40,0.00,-0.76,-2.84
-0.04,0.29,0.02,0.05,0.10,0.07,0.03,312.16,29.39,0.00,-0.88,-2.67
-0.03,0.29,0.01,0.03,0.09,0.07,0.04,310.66,29.39,0.00,-0.87,-2.49
-0.02,0.30,0.00,0.02,0.07,0.06,0.04,307.99,29.39,0.00,-0.80,-2.34
-0.01,0.31,0.00,0.00,0.06,0.04,0.04,305.19,29.39,0.00,-0.72,-2.26
-0.01,0.33,0.01,0.00,0.05,0.02,0.03,302.94,29.39,0.00,-0.70,-2.27
-0.01,0.34,0.02,0.01,0.04,0.00,0.01,301.51,29.38,0.00,-0.71,-2.36
-0.01,0.34,0.03,0.02,0.04,-0.01,-0.00,300.87,29.38,0.00,-0.65,-2.49
-0.01,0.33,0.04,0.04,0.05,-0.02,-0.02,300.79,29.37,0.00,-0.44,-2.65
-0.02,0.32,0.05,0.06,0.06,-0.02,-0.03,300.68,29.36,0.00,-0.13,-2.80
-0.03,0.29,0.06,0.07,0.07,-0.01,-0.04,299.39,29.35,0.00,0.13,-2.92
-0.04,0.26,0.06,0.08,0.08,0.00,-0.03,296.22,29.34,0.00,0.24,-2.99
-0.05,0.21,0.06,0.09,0.09,0.02,-0.02,292.04,29.34,0.00,0.20,-3.00
-0.05,0.17,0.05,0.08,0.10,0.03,-0.01,288.73,29.34,0.00,0.08,-2.96
-0.06,0.12,0.04,0.08,0.11,0.05,0.01,287.64,29.35,0.00,-0.04,-2.85
-0.06,0.08,0.03,0.06,0.11,0.07,0.02,289.04,29.36,0.00,-0.12,-2.71
-0.05,0.05,0.01,0.05,0.10,0.07,0.03,292.93,29.37,0.00,-0.20,-2.58
-0.05,0.03,0.01,0.03,0.09,0.07,0.03,298.87,29.37,0.00,-0.29,-2.50
-0.05,0.02,0.00,0.01,0.08,0.06,0.03,305.25,29.37,0.00,-0.39,-2.48
-0.05,0.03,0.01,0.00,0.07,0.05,0.02,309.97,29.37,0.00,-0.48,-2.54
-0.05,0.05,0.01,-0.00,0.06,0.03,0.01,311.79,29.36,0.00,-0.51,-2.67
-0.04,0.08,0.02,0.00,0.04,0.01,0.00,310.90,29.36,0.00,-0.50,-2.85
-0.04,0.11,0.03,0.01,0.04,-0.01,-0.01,308.26,29.35,0.00,-0.48,-2.99
-0.04,0.13,0.04,0.03,0.04,-0.01,-0.02,304.89,29.35,0.00,-0.48,-3.07
-0.04,0.14,0.05,0.05,0.05,-0.01,-0.03,301.82,29.35,0.00,-0.49,-3.06
-0.05,0.14,0.06,0.07,0.06,-0.00,-0.03,299.78,29.35,0.00,-0.45,-2.97
-0.05,0.14,0.06,0.09,0.08,0.01,-0.03,299.02,29.35,0.00,-0.33,-2.82
-0.06,0.13,0.06,0.10,0.09,0.03,-0.03,299.15,29.35,0.00,-0.15,-2.64
-0.07,0.11,0.05,0.10,0.10,0.04,-0.02,299.32,29.36,0.00,-0.03,-2.49
-0.08,0.08,0.04,0.09,0.11,0.05,-0.01,298.84,29.36,0.00,-0.04,-2.39
-0.09,0.05,0.03,0.08,0.10,0.06,0.01,297.52,29.36,0.00,-0.15,-2.36
-0.09,0.02,0.02,0.06,0.10,0.07,0.02,295.27,29.36,0.00,-0.23,-2.42
-0.09,0.01,0.01,0.04,0.09,0.07,0.03,292.20,29.37,0.00,-0.19,-2.57
-0.08,0.01,0.01,0.01,0.07,0.06,0.03,289.29,29.37,0.00,-0.03,-2.76
-0.08,0.02,0.01,-0.00,0.06,0.05,0.03,288.33,29.37,0.00,0.18,-2.93
-0.07,0.04,0.01,-0.01,0.05,0.03,0.03,290.39,29.37,0.00,0.37,-3.02
-0.07,0.07,0.02,-0.00,0.04,0.01,0.02,294.86,29.37,0.00,0.48,-3.04
-0.07,0.10,0.03,0.01,0.04,-0.00,0.01,300.50,29.37,0.00,0.47,-2.99
-0.07,0.12,0.04,0.03,0.04,-0.01,-0.01,306.15,29.37,0.00,0.31,-2.89
-0.07,0.14,0.06,0.04,0.04,-0.01,-0.02,310.58,29.37,0.00,0.07,-2.76
-0.08,0.14,0.07,0.06,0.06,-0.00,-0.02,312.47,29.37,0.00,-0.18,-2.63
-0.08,0.13,0.07,0.07,0.07,0.01,-0.03,311.37,29.37,0.00,-0.36,-2.50
-0.08,0.11,0.06,0.08,0.09,0.02,-0.03,308.19,29.37,0.00,-0.46,-2.39
-0.09,0.09,0.06,0.08,0.10,0.04,-0.02,304.45,29.37,0.00,-0.43,-2.34
-0.09,0.05,0.04,0.07,0.10,0.05,-0.00,301.40,29.37,0.00,-0.29,-2.36
-0.09,0.02,0.03,0.07,0.10,0.06,0.01,299.65,29.37,0.00,-0.10,-2.43
-0.10,-0.00,0.02,0.05,0.09,0.07,0.03,299.34,29.36,0.00,0.02,-2.54
-0.10,-0.02,0.01,0.04,0.08,0.07,0.03,300.24,29.36,0.00,-0.01,-2.65
-0.10,-0.02,0.00,0.02,0.08,0.06,0.04,301.49,29.36,0.00,-0.14,-2.73
-0.10,-0.01,0.00,0.01,0.07,0.05,0.03,301.69,29.36,0.00,-0.24,-2.77
-0.09,0.02,0.00,0.00,0.05,0.03,0.03,299.99,29.36,0.00,-0.19,-2.73
-0.08,0.05,0.01,0.01,0.05,0.02,0.02,296.70,29.37,0.00,-0.01,-2.65
-0.07,0.09,0.02,0.01,0.04,0.00,0.01,292.65,29.37,0.00,0.24,-2.54
-0.06,0.12,0.03,0.03,0.04,-0.01,-0.00,288.63,29.37,0.00,0.46,-2.45
-0.06,0.15,0.05,0.04,0.05,-0.01,-0.01,285.74,29.37,0.00,0.59,-2.38
-0.06,0.16,0.05,0.06,0.06,0.00,-0.02,285.63,29.37,0.00,0.55,-2.37
