시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
29.4,-0.12,1.92,1.93,0.04,0.07,0.18,0.19,855.42,32.24,0.0,-0.35,-1.95
29.41,-0.1,1.95,1.94,0.03,0.06,0.18,0.19,857.79,32.24,0.0,-0.26,-1.96
29.42,-0.08,1.98,1.96,0.03,0.05,0.18,0.18,858.99,32.24,0.0,-0.16,-2.04
29.43,-0.08,2.01,1.97,0.03,0.04,0.17,0.17,861.45,32.24,0.0,-0.11,-2.19
29.44,-0.09,2.04,1.99,0.04,0.04,0.15,0.16,865.53,32.24,0.0,-0.14,-2.37
29.45,-0.09,2.07,2.01,0.05,0.05,0.13,0.14,870.08,32.24,0.0,-0.2,-2.5
29.46,-0.1,2.08,2.03,0.07,0.06,0.11,0.13,873.93,32.24,0.0,-0.25,-2.53
29.47,-0.1,2.08,2.04,0.08,0.06,0.1,0.12,876.11,32.25,0.0,-0.27,-2.48
29.48,-0.11,2.05,2.04,0.1,0.07,0.1,0.12,875.72,32.25,0.0,-0.3,-2.38
29.49,-0.13,2.01,2.04,0.1,0.08,0.1,0.13,872.57,32.24,0.0,-0.39,-2.28
29.5,-0.15,1.96,2.04,0.1,0.09,0.12,0.14,868.22,32.23,0.0,-0.49,-2.19
29.51,-0.18,1.93,2.04,0.09,0.09,0.13,0.16,865.52,32.22,0.0,-0.49,-2.13
29.52,-0.23,1.93,2.03,0.07,0.09,0.14,0.17,866.35,32.22,0.0,-0.3,-2.09
29.53,-0.27,1.94,2.03,0.06,0.09,0.15,0.19,869.67,32.22,0.0,0.0,-2.07
29.54,-0.29,1.96,2.04,0.04,0.08,0.15,0.19,871.99,32.23,0.0,0.19,-2.09
29.55,-0.28,1.98,2.05,0.03,0.06,0.15,0.19,870.63,32.24,0.0,0.12,-2.15
29.56,-0.25,1.99,2.06,0.02,0.05,0.15,0.18,866.5,32.24,0.0,-0.17,-2.25
29.57,-0.19,2.0,2.08,0.02,0.04,0.15,0.17,863.52,32.24,0.0,-0.48,-2.34
29.58,-0.14,2.03,2.1,0.02,0.03,0.14,0.16,864.83,32.24,0.0,-0.66,-2.41
29.59,-0.09,2.07,2.12,0.03,0.03,0.14,0.15,870.11,32.23,0.0,-0.67,-2.44
29.6,-0.06,2.1,2.14,0.04,0.03,0.14,0.15,876.74,32.23,0.0,-0.51,-2.44
29.61,-0.06,2.13,2.16,0.06,0.04,0.14,0.15,882.26,32.24,0.0,-0.27,-2.4
29.62,-0.07,2.14,2.16,0.08,0.04,0.14,0.15,886.13,32.25,0.0,-0.01,-2.34
29.63,-0.1,2.15,2.17,0.09,0.05,0.15,0.15,890.14,32.26,0.0,0.21,-2.29
29.64,-0.13,2.16,2.16,0.1,0.06,0.15,0.15,896.03,32.26,0.0,0.36,-2.25
29.65,-0.16,2.17,2.16,0.1,0.08,0.15,0.15,902.87,32.26,0.0,0.4,-2.24
29.66,-0.18,2.16,2.15,0.09,0.08,0.15,0.15,907.62,32.26,0.0,0.27,-2.22
29.67,-0.18,2.12,2.14,0.08,0.09,0.15,0.16,908.09,32.25,0.0,-0.07,-2.21
29.68,-0.17,2.07,2.14,0.06,0.08,0.15,0.16,905.14,32.25,0.0,-0.52,-2.19
29.69,-0.15,2.03,2.14,0.05,0.08,0.13,0.17,901.97,32.24,0.0,-0.9,-2.22
29.7,-0.14,2.01,2.15,0.04,0.07,0.11,0.17,901.26,32.24,0.0,-1.09,-2.3
29.71,-0.13,2.01,2.17,0.03,0.06,0.09,0.16,903.3,32.23,0.0,-1.09,-2.42
29.72,-0.12,2.05,2.2,0.02,0.05,0.06,0.15,906.65,32.23,0.0,-1.01,-2.5
29.73,-0.12,2.11,2.22,0.02,0.05,0.04,0.14,909.75,32.23,0.0,-0.96,-2.51
29.74,-0.12,2.18,2.24,0.03,0.05,0.04,0.13,911.29,32.23,0.0,-0.96,-2.45
29.75,-0.12,2.26,2.26,0.05,0.05,0.05,0.13,909.87,32.24,0.0,-0.91,-2.35
29.76,-0.13,2.32,2.27,0.06,0.05,0.07,0.13,905.05,32.25,0.0,-0.75,-2.24
29.77,-0.13,2.37,2.27,0.08,0.05,0.1,0.13,898.55,32.26,0.0,-0.51,-2.16
29.78,-0.14,2.39,2.28,0.09,0.06,0.14,0.14,893.46,32.27,0.0,-0.31,-2.13
29.79,-0.18,2.4,2.28,0.1,0.06,0.17,0.16,891.88,32.28,0.0,-0.24,-2.16
29.8,-0.22,2.39,2.29,0.09,0.07,0.19,0.17,893.52,32.3,0.0,-0.33,-2.23
29.81,-0.24,2.36,2.29,0.08,0.07,0.2,0.19,896.41,32.3,0.0,-0.58,-2.35
29.82,-0.24,2.31,2.29,0.07,0.07,0.2,0.2,898.65,32.3,0.0,-0.97,-2.52
29.83,-0.21,2.26,2.28,0.06,0.07,0.19,0.21,899.78,32.3,0.0,-1.34,-2.68
29.84,-0.17,2.21,2.28,0.05,0.06,0.19,0.22,900.71,32.29,0.0,-1.46,-2.77
29.85,-0.11,2.2,2.28,0.04,0.05,0.2,0.22,902.46,32.29,0.0,-1.16,-2.74
29.86,-0.06,2.2,2.29,0.03,0.04,0.21,0.21,904.2,32.29,0.0,-0.56,-2.61
29.87,-0.03,2.23,2.31,0.02,0.03,0.21,0.2,903.0,32.3,0.0,0.11,-2.44
29.88,-0.03,2.26,2.32,0.02,0.03,0.18,0.18,896.85,32.31,0.0,0.64,-2.28
29.89,-0.06,2.3,2.34,0.03,0.04,0.14,0.17,888.06,32.32,0.0,0.92,-2.16
29.9,-0.09,2.32,2.35,0.05,0.05,0.11,0.15,882.37,32.32,0.0,0.89,-2.09
29.91,-0.13,2.32,2.37,0.07,0.06,0.09,0.13,883.88,32.31,0.0,0.6,-2.05
29.92,-0.15,2.31,2.38,0.08,0.07,0.09,0.11,891.33,32.3,0.0,0.18,-2.05
29.93,-0.16,2.29,2.38,0.09,0.07,0.1,0.11,899.72,32.29,0.0,-0.21,-2.09
29.94,-0.15,2.27,2.38,0.1,0.08,0.12,0.11,904.74,32.29,0.0,-0.46,-2.18
29.95,-0.13,2.26,2.37,0.1,0.09,0.14,0.12,905.41,32.29,0.0,-0.55,-2.3
29.96,-0.11,2.27,2.36,0.09,0.09,0.15,0.13,903.36,32.3,0.0,-0.56,-2.42
29.97,-0.1,2.29,2.35,0.08,0.09,0.16,0.15,900.73,32.3,0.0,-0.57,-2.53
29.98,-0.11,2.32,2.34,0.06,0.08,0.16,0.16,899.02,32.3,0.0,-0.62,-2.59
29.99,-0.12,2.36,2.33,0.05,0.07,0.15,0.17,899.07,32.3,0.0,-0.75,-2.59
30.0,-0.15,2.4,2.33,0.03,0.05,0.15,0.17,900.96,32.3,0.0,-0.96,-2.5
30.01,-0.17,2.44,2.33,0.02,0.04,0.15,0.17,904.14,32.31,0.0,-1.17,-2.35
30.02,-0.19,2.47,2.34,0.02,0.03,0.13,0.16,908.08,32.31,0.0,-1.21,-2.21
30.03,-0.19,2.48,2.35,0.02,0.03,0.1,0.15,912.37,32.31,0.0,-0.99,-2.09
30.04,-0.17,2.49,2.37,0.03,0.04,0.05,0.13,916.15,32.31,0.0,-0.58,-2.03
30.05,-0.13,2.47,2.38,0.04,0.05,0.02,0.12,918.21,32.31,0.0,-0.18,-2.04
30.06,-0.08,2.42,2.4,0.06,0.06,0.0,0.11,917.95,32.31,0.0,0.07,-2.1
30.07,-0.03,2.35,2.41,0.08,0.07,0.01,0.1,915.48,32.31,0.0,0.13,-2.21
30.08,0.01,2.28,2.42,0.09,0.08,0.03,0.1,910.67,32.31,0.0,0.14,-2.35
30.09,0.01,2.22,2.42,0.1,0.09,0.05,0.09,903.74,32.31,0.0,0.18,-2.5
30.1,-0.0,2.17,2.42,0.1,0.1,0.08,0.09,896.59,32.3,0.0,0.29,-2.63
30.11,-0.04,2.15,2.42,0.09,0.1,0.1,0.1,892.32,32.29,0.0,0.4,-2.7
