,time(s),pressure_1(bar),main_pressure(bar),venturi_pressure_1(bar),venturi_pressure_2(bar),venturi_pressure_3(bar),venturi_pressure_4(bar),venturi_pressure_5(bar),pump_speed(rpm),water_temp(c),reserved,outlet_flowrate(lpm),inlet_flowrate(lpm),test_case,test_case_iter,nozzle_len(mm),nozzle_dia(mm),venturi_dist(mm)
123,12.3,-0.09,3.02,3.16,0.09,0.09,0.14,0.1,604.94,28.47,0.0,5.96,-2.41,1.0,1.0,12.0,12.0,0.0
124,12.4,-0.03,3.16,2.99,-0.01,-0.02,0.02,0.21,596.64,28.47,0.0,13.42,-2.63,1.0,1.0,12.0,12.0,0.0
125,12.5,-0.11,2.9,3.02,0.01,0.1,0.21,0.22,605.84,28.49,0.0,20.54,-3.16,1.0,1.0,12.0,12.0,0.0
126,12.6,-0.11,2.99,3.14,0.09,0.08,0.11,0.14,605.12,28.49,0.0,28.85,-2.93,1.0,1.0,12.0,12.0,0.0
127,12.7,-0.06,3.14,3.06,0.0,0.04,0.06,0.14,596.73,28.48,0.0,36.18,-2.61,1.0,1.0,12.0,12.0,0.0
128,12.8,-0.09,2.93,3.04,0.02,0.08,0.18,0.2,605.16,28.45,0.0,43.72,-2.55,1.0,1.0,12.0,12.0,0.0
129,12.9,-0.1,3.04,3.08,0.08,0.11,0.16,0.13,604.29,28.45,0.0,45.72,-2.86,1.0,1.0,12.0,12.0,0.0
130,13.0,-0.05,3.07,3.02,0.02,-0.02,0.12,0.17,598.16,28.44,0.0,46.2,-2.87,1.0,1.0,12.0,12.0,0.0
131,13.1,-0.09,2.88,3.01,0.01,0.08,0.17,0.19,605.13,28.45,0.0,51.85,-2.84,1.0,1.0,12.0,12.0,0.0
132,13.2,-0.1,3.09,3.06,0.09,0.12,0.15,0.12,604.74,28.47,0.0,53.73,-2.64,1.0,1.0,12.0,12.0,0.0
133,13.3,-0.07,3.07,3.04,-0.01,0.02,0.11,0.14,597.87,28.47,0.0,58.7,-2.88,1.0,1.0,12.0,12.0,0.0
134,13.4,-0.09,2.87,3.06,0.02,0.09,0.22,0.21,592.43,28.47,0.0,63.26,-3.02,1.0,1.0,12.0,12.0,0.0
135,13.5,-0.09,3.07,3.1,0.09,0.08,0.13,0.12,580.26,28.48,0.0,68.26,-2.88,1.0,1.0,12.0,12.0,0.0
136,13.6,-0.06,3.04,3.07,0.0,0.0,0.15,0.14,591.86,28.47,0.0,74.06,-2.45,1.0,1.0,12.0,12.0,0.0
137,13.7,-0.09,2.81,3.05,0.01,0.07,0.17,0.2,593.13,28.48,0.0,80.78,-2.54,1.0,1.0,12.0,12.0,0.0
138,13.8,-0.09,3.03,3.08,0.1,0.1,0.14,0.11,578.54,28.5,0.0,87.83,-2.85,1.0,1.0,12.0,12.0,0.0
139,13.9,-0.07,3.15,3.04,0.01,0.0,0.09,0.14,591.91,28.5,0.0,88.61,-3.11,1.0,1.0,12.0,12.0,0.0
140,14.0,-0.09,2.8,3.02,-0.01,0.07,0.2,0.22,594.21,28.44,0.0,87.46,-2.87,1.0,1.0,12.0,12.0,0.0
141,14.1,-0.1,3.05,3.1,0.09,0.09,0.15,0.12,578.57,28.45,0.0,92.88,-2.39,1.0,1.0,12.0,12.0,0.0
142,14.2,-0.08,3.14,3.07,0.01,0.02,0.02,0.14,591.99,28.45,0.0,92.66,-2.29,1.0,1.0,12.0,12.0,0.0
143,14.3,-0.09,2.88,2.97,0.0,0.06,0.17,0.19,593.03,28.45,0.0,101.81,-2.99,1.0,1.0,12.0,12.0,0.0
